Faculty,CAREER,2003/04,2004/05,2005/06,2006/07,2007/08,2008/09,2009/10,2010/11,2011/12,2012/13,2013/14,2014/15
AHS,Graduate,101,109,116,150,210,255,275,281,297,321,393,407
AHS,Undergraduate,"1,398","1,476","1,552","1,614","1,498","1,514","1,585","1,662","1,707","1,831","1,985","2,081"
ARTS,Graduate,390,405,422,404,496,556,562,581,615,671,712,716
ARTS,Undergraduate,"5,861","6,197","6,393","6,377","6,367","6,312","6,575","6,701","6,801","6,918","7,045","6,619"
ENG,Graduate,773,788,911,"1,008","1,153","1,315","1,459","1,493","1,472","1,546","1,541","1,474"
ENG,Undergraduate,"3,425","3,636","4,044","4,337","4,517","4,611","4,835","5,088","5,309","5,462","5,578","5,765"
ENV,Graduate,197,200,138,163,195,234,248,263,300,330,374,389
ENV,Undergraduate,"1,384","1,397","1,145","1,124","1,243","1,407","1,753","1,959","2,142","2,127","2,092","2,108"
MATH,Graduate,411,425,427,452,468,494,511,518,582,606,624,623
MATH,Undergraduate,"4,684","4,813","4,608","4,690","4,755","5,145","5,606","5,868","6,259","6,366","6,566","6,842"
REN,Undergraduate,46,48,62,92,88,107,110,111,126,137,136,137
SCI,Graduate,377,392,395,403,472,476,485,500,556,551,547,552
SCI,Undergraduate,"3,215","3,278","3,310","3,527","3,741","3,795","4,135","4,500","4,619","4,688","5,021","5,165"
THL,Graduate,,,,14,13,15,17,15,12,12,16,20
,Total,"22,260","23,164","23,523","24,353","25,214","26,237","28,155","29,539","30,797","31,566","32,630","32,897"
